threshold,roc_auc,pr_auc,recall,precision,f1,specificity,brier,log_loss,tn,fp,fn,tp,predicted_positive_rate,total_cost,cost_per_patient
0.405,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,0.9985041136873598,0.10283803935166289,0.35352388066469487,1335,2,184,0,0.0013149243918474688,922.0,0.6061801446416831
0.41,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,0.9992520568436799,0.10283803935166289,0.35352388066469487,1336,1,184,0,0.0006574621959237344,921.0,0.6055226824457594
0.415,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.42,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.425,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.43,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.435,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.44,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.445,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.45,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.455,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.46,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.465,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.47,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.475,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.48,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.485,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.49,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.495,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.5,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.505,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.51,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.515,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.52,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.525,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
0.53,0.6534421644824558,0.2124846387926167,0.0,0.0,0.0,1.0,0.10283803935166289,0.35352388066469487,1337,0,184,0,0.0,920.0,0.6048652202498357
